Player,Rk,Pk,Tm,Pos,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Rk_coll,From,To,School,Conf,G_coll,MP_coll,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS_coll,OBPM,DBPM,BPM_coll
Nik Stauskas,8,8,SAC,SG,University of Michigan,5.0,335.0,6662.0,2272.0,688.0,513.0,0.389,0.353,0.8140000000000001,19.9,6.8,2.1,1.5,3.8,0.027999999999999997,-3.2,-2.1,1594.0,2014.0,2014.0,Michigan,Big Ten,36.0,1281.0,22.7,0.642,0.586,1.6,8.8,5.3,18.8,1.0,0.9,12.0,24.4,594.0,127.9,109.0,5.0,1.1,6.2,9.0,0.2,9.2
Jordan McRae,58,58,SAS,SG,University of Tennessee,3.0,86.0,912.0,420.0,101.0,74.0,0.42700000000000005,0.35200000000000004,0.784,10.6,4.9,1.2,0.9,1.0,0.051,-5.0,-0.7,1588.0,2014.0,2014.0,Tennessee,SEC,37.0,1190.0,24.0,0.565,0.513,2.6,10.0,6.3,17.6,1.3,3.3,11.2,30.4,623.0,119.2,100.7,4.3,2.0,6.2,7.1,1.3,8.4
Cleanthony Early,34,34,NYK,SF,Wichita State University,2.0,56.0,801.0,241.0,123.0,42.0,0.34600000000000003,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.7,-0.8,1613.0,2014.0,2014.0,Wichita State,MVC,36.0,986.0,26.5,0.627,0.57,5.9,18.6,12.5,6.4,1.8,3.3,12.9,28.8,507.0,121.3,91.4,3.6,2.5,6.1,5.3,1.9,7.1
Lamar Patterson,48,48,MIL,SG,University of Pittsburgh,2.0,40.0,435.0,93.0,57.0,45.0,0.326,0.23600000000000002,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.5,-0.4,1736.0,2014.0,2014.0,Pittsburgh,ACC,36.0,1174.0,24.2,0.569,0.528,3.8,14.4,9.2,29.9,2.8,1.2,14.7,29.1,591.0,115.4,97.7,3.6,2.3,5.9,8.4,3.4,11.7
Julius Randle,7,7,LAL,PF,University of Kentucky,5.0,311.0,8854.0,4784.0,2753.0,847.0,0.502,0.307,0.722,28.5,15.4,8.9,2.7,17.8,0.096,-0.4,3.6,1738.0,2014.0,2014.0,Kentucky,SEC,40.0,1233.0,24.5,0.5670000000000001,0.505,13.3,24.7,19.2,10.0,1.0,2.6,16.1,25.4,599.0,115.9,97.8,3.5,2.4,5.9,4.2,3.0,7.1
Markel Brown,44,44,MIN,SG,Oklahoma State University,3.0,113.0,1794.0,584.0,234.0,132.0,0.38,0.295,0.7809999999999999,15.9,5.2,2.1,1.2,1.1,0.028999999999999998,-2.8,-0.4,1803.0,2014.0,2014.0,Oklahoma State,Big 12,34.0,1201.0,22.0,0.591,0.541,3.5,12.9,8.4,16.9,1.6,3.1,10.0,23.1,562.0,121.7,100.4,3.7,2.0,5.7,5.9,2.9,8.8
Kyle Anderson,30,30,SAS,SF,University of California Los Angeles,5.0,300.0,5882.0,1601.0,1171.0,572.0,0.49200000000000005,0.324,0.706,19.6,5.3,3.9,1.9,15.4,0.125,2.1,6.1,1856.0,2014.0,2014.0,UCLA,Pac-12,36.0,1196.0,24.7,0.5660000000000001,0.517,4.5,25.5,15.4,34.3,3.1,2.7,19.1,24.1,603.0,113.4,95.4,3.1,2.6,5.6,4.7,6.2,10.8
Elfrid Payton,10,10,PHI,PG,University of Louisiana at Lafayette,5.0,342.0,10104.0,3798.0,1491.0,2243.0,0.45399999999999996,0.302,0.63,29.5,11.1,4.4,6.6,13.3,0.063,-0.3,4.2,1887.0,2014.0,2014.0,Louisiana,Sun Belt,35.0,1258.0,25.2,0.551,0.524,7.1,11.7,9.4,32.9,3.6,1.7,17.2,27.6,732.0,113.7,102.5,3.7,1.9,5.6,4.7,2.1,6.8
Marcus Smart,6,6,BOS,PG,Oklahoma State University,5.0,341.0,9688.0,3174.0,1205.0,1337.0,0.37200000000000005,0.31,0.764,28.4,9.3,3.5,3.9,16.2,0.08,0.6,6.4,1891.0,2014.0,2014.0,Oklahoma State,Big 12,31.0,1014.0,26.9,0.552,0.486,5.1,14.9,10.2,30.1,5.0,1.9,14.0,29.2,589.0,114.3,92.3,3.1,2.5,5.6,8.0,5.5,13.5
Jabari Parker,2,2,MIL,SF,Duke University,5.0,247.0,7341.0,3724.0,1419.0,525.0,0.491,0.337,0.7390000000000001,29.7,15.1,5.7,2.1,11.6,0.076,-1.5,0.9,1928.0,2014.0,2014.0,Duke,ACC,35.0,1074.0,28.4,0.5579999999999999,0.511,11.4,23.1,17.1,8.6,2.1,4.0,11.9,32.7,623.0,115.0,99.3,3.6,1.9,5.5,4.3,2.3,6.6
Tyler Ennis,18,18,PHO,PG,Syracuse University,4.0,186.0,2336.0,779.0,250.0,359.0,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026000000000000002,-4.6,-1.5,1911.0,2014.0,2014.0,Syracuse,ACC,34.0,1215.0,21.3,0.511,0.45299999999999996,2.6,9.0,5.7,32.3,3.9,0.7,11.9,21.9,480.0,117.4,98.7,3.2,2.2,5.5,5.4,2.3,7.7
Aaron Gordon,4,4,ORL,PF,University of Arizona,5.0,341.0,9500.0,4249.0,2112.0,736.0,0.45,0.321,0.7070000000000001,27.9,12.5,6.2,2.2,18.0,0.091,0.2,5.3,1964.0,2014.0,2014.0,Arizona,Pac-12,38.0,1187.0,20.4,0.503,0.516,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,469.0,108.9,88.6,2.1,3.3,5.4,2.8,6.7,9.6
Gary Harris,19,19,CHI,SG,Michigan State University,5.0,312.0,8883.0,3878.0,798.0,661.0,0.46,0.365,0.802,28.5,12.4,2.6,2.1,16.0,0.086,-0.1,4.3,2009.0,2014.0,2014.0,Michigan State,Big Ten,35.0,1131.0,22.5,0.561,0.518,4.0,10.2,7.3,16.8,3.4,1.6,10.3,26.8,542.0,116.9,99.3,3.3,2.0,5.3,6.9,2.5,9.4
Joe Harris,33,33,CLE,SG,University of Virginia,5.0,262.0,5914.0,2454.0,742.0,391.0,0.475,0.42700000000000005,0.797,22.6,9.4,2.8,1.5,10.4,0.085,-0.5,2.2,2176.0,2014.0,2014.0,Virginia,ACC,37.0,1066.0,18.7,0.565,0.547,2.7,9.8,6.3,18.1,2.2,0.9,10.9,23.3,407.0,116.0,94.7,2.6,2.4,5.0,6.3,3.3,9.6
Cory Jefferson,60,60,SAS,PF,Baylor University,2.0,58.0,581.0,205.0,161.0,16.0,0.444,0.125,0.583,10.0,3.5,2.8,0.3,0.9,0.071,-4.6,-0.4,2242.0,2014.0,2014.0,Baylor,Big 12,38.0,1103.0,23.8,0.5529999999999999,0.519,11.6,21.0,16.4,7.4,0.8,4.7,9.8,24.2,487.0,119.9,102.7,3.3,1.6,4.9,3.4,2.5,6.0
Andrew Wiggins,1,1,CLE,SF,University of Kansas,5.0,400.0,14384.0,7768.0,1703.0,867.0,0.44,0.332,0.735,36.0,19.4,4.3,2.2,13.0,0.044000000000000004,-2.5,-1.8,2280.0,2014.0,2014.0,Kansas,Big 12,35.0,1148.0,21.4,0.563,0.499,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,564.0,116.1,102.8,3.2,1.7,4.9,5.4,3.0,8.5
Rodney Hood,23,23,UTA,SG,Duke University,5.0,320.0,8707.0,4017.0,908.0,613.0,0.42200000000000004,0.36700000000000005,0.841,27.2,12.6,2.8,1.9,16.0,0.08800000000000001,-1.0,2.2,2235.0,2014.0,2014.0,Duke,ACC,35.0,1150.0,20.1,0.59,0.55,2.9,11.7,7.2,13.2,1.3,0.8,10.2,23.8,507.0,122.5,107.0,3.6,1.2,4.9,6.6,0.6,7.2
James Young,17,17,BOS,SG,University of Kentucky,4.0,95.0,812.0,219.0,96.0,28.0,0.36700000000000005,0.27699999999999997,0.563,8.5,2.3,1.0,0.3,0.8,0.046,-4.0,-0.4,2399.0,2014.0,2014.0,Kentucky,SEC,40.0,1296.0,16.6,0.536,0.498,3.7,11.0,7.5,10.8,1.4,0.6,12.3,23.4,527.0,114.8,104.3,3.0,1.7,4.7,5.2,0.8,6.0
Roy Devyn Marble,56,56,DEN,SG,University of Iowa,2.0,44.0,457.0,97.0,69.0,29.0,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.027999999999999997,-5.0,-0.3,2433.0,2014.0,2014.0,Iowa,Big Ten,33.0,995.0,22.6,0.528,0.479,2.9,8.6,5.9,23.6,3.5,0.8,9.7,28.4,534.0,116.2,100.8,3.0,1.6,4.6,6.8,1.7,8.5
Jerami Grant,39,39,PHI,SF,Syracuse University,5.0,383.0,9233.0,3369.0,1500.0,396.0,0.461,0.33399999999999996,0.654,24.1,8.8,3.9,1.0,18.2,0.095,-1.1,2.0,2420.0,2014.0,2014.0,Syracuse,ACC,32.0,1005.0,21.6,0.547,0.496,9.1,17.2,13.0,9.4,1.7,2.5,9.5,21.1,379.0,120.4,98.7,2.8,1.9,4.6,3.3,2.5,5.8
Jordan Clarkson,46,46,WAS,PG,University of Missouri,5.0,382.0,10527.0,5621.0,1237.0,1028.0,0.445,0.335,0.815,27.6,14.7,3.2,2.7,10.5,0.048,-1.8,0.6,2533.0,2014.0,2014.0,Missouri,SEC,35.0,1228.0,20.2,0.547,0.48200000000000004,2.9,9.3,6.4,23.3,1.9,0.6,14.3,27.9,605.0,112.7,108.2,3.2,1.2,4.4,3.8,0.2,4.0
DeAndre Daniels,37,37,TOR,SF,University of Connecticut,,,,,,,,,,,,,,,,,,2536.0,2014.0,2014.0,Connecticut,AAC,38.0,1103.0,20.0,0.5589999999999999,0.531,6.3,16.9,12.0,3.6,1.4,5.2,11.2,24.2,437.0,110.0,95.6,2.1,2.4,4.4,1.2,2.9,4.1
C.J. Wilcox,28,28,LAC,SG,University of Washington,3.0,66.0,376.0,132.0,31.0,30.0,0.37,0.33299999999999996,0.813,5.7,2.0,0.5,0.5,0.1,0.006999999999999999,-5.2,-0.3,2581.0,2014.0,2014.0,Washington,Pac-12,32.0,1116.0,22.0,0.598,0.556,2.3,10.6,6.4,15.4,1.7,2.8,9.9,24.6,527.0,121.9,110.0,3.6,0.9,4.4,7.2,0.2,7.4
Adreian Payne,15,15,ATL,PF,Michigan State University,4.0,107.0,1403.0,429.0,315.0,66.0,0.406,0.254,0.68,13.1,4.0,2.9,0.6,-0.6,-0.019,-5.5,-1.2,2634.0,2014.0,2014.0,Michigan State,Big Ten,31.0,870.0,25.1,0.607,0.565,6.8,22.9,15.2,10.2,1.0,3.8,13.1,28.9,443.0,116.5,97.6,2.7,1.7,4.3,4.5,2.1,6.6
Semaj Christon,55,55,MIA,PG,Xavier University,1.0,64.0,973.0,183.0,87.0,130.0,0.345,0.19,0.5479999999999999,15.2,2.9,1.4,2.0,0.1,0.006,-6.3,-1.1,2836.0,2014.0,2014.0,Xavier,Big East,34.0,1200.0,19.1,0.544,0.501,1.5,7.4,4.6,25.3,2.3,0.8,14.3,26.9,565.0,109.9,106.4,2.6,1.3,4.0,3.7,1.2,4.9
Josh Huestis,29,29,OKC,SF,Stanford University,3.0,76.0,1068.0,187.0,180.0,23.0,0.34600000000000003,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.8,-0.5,2863.0,2014.0,2014.0,Stanford,Pac-12,36.0,1266.0,17.3,0.51,0.488,8.8,18.4,13.7,6.8,1.0,5.9,9.8,18.0,413.0,110.2,100.7,1.9,2.1,4.0,1.4,4.7,6.1
Alec Brown,50,50,PHO,C,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,,,,2920.0,2014.0,2014.0,Green Bay,Horizon,30.0,909.0,22.7,0.569,0.536,8.5,12.8,10.8,7.0,1.0,10.9,13.8,26.2,412.0,110.2,95.1,1.9,2.0,3.9,1.0,3.7,4.6
Kyle Anderson,30,30,SAS,SF,University of California Los Angeles,5.0,300.0,5882.0,1601.0,1171.0,572.0,0.49200000000000005,0.324,0.706,19.6,5.3,3.9,1.9,15.4,0.125,2.1,6.1,2990.0,2014.0,2015.0,Delaware,CAA,58.0,2004.0,12.8,0.521,0.493,2.3,9.8,6.0,8.5,1.3,1.0,9.7,19.2,649.0,106.7,111.0,2.6,1.2,3.8,1.7,-1.7,0.0
Dwight Powell,45,45,CHH,PF,Stanford University,5.0,331.0,5895.0,2491.0,1484.0,305.0,0.5529999999999999,0.298,0.75,17.8,7.5,4.5,0.9,22.4,0.182,2.1,6.1,3052.0,2014.0,2014.0,Stanford,Pac-12,36.0,1167.0,19.7,0.527,0.475,7.3,17.3,12.5,20.4,2.4,2.8,17.8,26.0,537.0,104.3,99.6,1.8,2.0,3.8,2.0,4.5,6.5
Noah Vonleh,9,9,CHH,PF,Indiana University,5.0,299.0,5295.0,1528.0,1617.0,228.0,0.45299999999999996,0.316,0.6829999999999999,17.7,5.1,5.4,0.8,8.3,0.075,-2.6,-0.8,3231.0,2014.0,2014.0,Indiana,Big Ten,30.0,794.0,22.2,0.604,0.56,10.8,27.3,19.4,4.9,1.9,5.4,18.6,21.4,321.0,113.0,91.7,1.6,2.0,3.6,1.2,4.9,6.1
Joel Embiid,3,3,PHI,C,University of Kansas,3.0,158.0,4852.0,3833.0,1804.0,499.0,0.48100000000000004,0.315,0.7879999999999999,30.7,24.3,11.4,3.2,16.8,0.166,3.3,6.5,3337.0,2014.0,2014.0,Kansas,Big 12,28.0,647.0,28.2,0.655,0.629,12.7,27.3,20.5,11.5,2.3,11.7,21.6,23.4,307.0,116.6,90.9,1.8,1.7,3.4,4.7,10.2,14.9
Spencer Dinwiddie,38,38,DET,PG,University of Colorado,5.0,253.0,6168.0,2785.0,654.0,1146.0,0.408,0.32299999999999995,0.8009999999999999,24.4,11.0,2.6,4.5,13.5,0.105,-0.6,2.1,3625.0,2014.0,2014.0,Colorado,Pac-12,17.0,529.0,24.8,0.667,0.565,1.8,9.6,5.8,26.3,2.9,0.8,13.8,21.0,248.0,135.3,102.0,2.2,0.8,3.1,8.8,1.7,10.5
Zach LaVine,13,13,MIN,SG,University of California Los Angeles,5.0,293.0,8772.0,4710.0,990.0,1021.0,0.446,0.373,0.8240000000000001,29.9,16.1,3.4,3.5,8.0,0.044000000000000004,-1.6,0.9,4244.0,2014.0,2014.0,UCLA,Pac-12,37.0,904.0,14.6,0.545,0.524,2.4,9.5,6.1,12.6,2.1,0.8,11.6,20.1,324.0,109.1,104.8,1.4,1.2,2.5,2.8,0.7,3.5
Mitch McGary,21,21,OKC,PF,University of Michigan,2.0,52.0,557.0,227.0,183.0,17.0,0.527,0.0,0.58,10.7,4.4,3.5,0.3,1.3,0.10800000000000001,-3.1,-0.2,6370.0,2014.0,2014.0,Michigan,Big Ten,8.0,198.0,26.2,0.5720000000000001,0.545,15.5,27.1,21.5,12.6,4.9,3.2,16.4,22.5,84.0,116.3,91.3,0.5,0.5,1.0,4.7,7.2,11.9
Alessandro Gentile,53,53,MIN,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,27,27,PHO,SG,,2.0,148.0,4122.0,1907.0,466.0,525.0,0.431,0.375,0.833,27.9,12.9,3.1,3.5,5.6,0.065,-0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Caboclo,20,20,TOR,SF,,5.0,69.0,1013.0,335.0,194.0,59.0,0.392,0.344,0.8390000000000001,14.7,4.9,2.8,0.9,1.1,0.054000000000000006,-1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,25,25,HOU,C,,5.0,295.0,7395.0,3532.0,2706.0,276.0,0.635,0.0,0.525,25.1,12.0,9.2,0.9,31.4,0.204,1.9,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Inglis,31,31,MIL,SF,,1.0,20.0,156.0,36.0,31.0,10.0,0.35100000000000003,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-6.4,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Exum,5,5,UTA,PG,,4.0,204.0,3944.0,1207.0,357.0,462.0,0.4,0.304,0.77,19.3,5.9,1.8,2.3,2.7,0.033,-3.3,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Saric,12,12,ORL,SF,,3.0,240.0,6462.0,3039.0,1490.0,511.0,0.433,0.358,0.835,26.9,12.7,6.2,2.1,11.2,0.083,-0.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Robinson III,40,40,MIN,SF,University of Michigan,5.0,219.0,3144.0,956.0,461.0,122.0,0.439,0.361,0.726,14.4,4.4,2.1,0.6,4.7,0.07200000000000001,-2.6,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny O'Bryant III,36,36,MIL,PF,Louisiana State University,4.0,147.0,1684.0,509.0,352.0,69.0,0.402,0.36,0.6629999999999999,11.5,3.5,2.4,0.5,0.2,0.006,-6.4,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jusuf Nurkic,16,16,CHI,C,,5.0,310.0,7103.0,3608.0,2480.0,589.0,0.491,0.071,0.6659999999999999,22.9,11.6,8.0,1.9,16.4,0.111,1.3,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Labeyrie,57,57,IND,PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Dangubic,54,54,PHI,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,41,41,DEN,PF,,4.0,308.0,8718.0,5006.0,2946.0,1586.0,0.523,0.345,0.828,28.3,16.3,9.6,5.1,38.9,0.214,7.6,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.J. Hairston,26,26,MIA,SG,University of North Carolina,2.0,111.0,2000.0,664.0,266.0,59.0,0.34299999999999997,0.295,0.81,18.0,6.0,2.4,0.5,0.9,0.021,-3.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanasis Antetokounmpo,51,51,NYK,SF,,1.0,2.0,6.0,6.0,1.0,0.0,0.75,0.0,,3.0,3.0,0.5,0.0,0.0,0.29100000000000004,-4.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasilije Micic,52,52,PHI,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Tavares,43,43,ATL,C,,2.0,13.0,101.0,33.0,32.0,4.0,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.11800000000000001,-0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
