Rk,Pk,Tm,Player,Pos,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins\wiggian01,SF,University of Kansas,5,400,14384,7768,1703,867,0.44,0.332,0.735,36,19.4,4.3,2.2,13,0.044,-2.5,-1.8
2,2,MIL,Jabari Parker\parkeja01,SF,Duke University,5,247,7341,3724,1419,525,0.491,0.337,0.739,29.7,15.1,5.7,2.1,11.6,0.076,-1.5,0.9
3,3,PHI,Joel Embiid\embiijo01,C,University of Kansas,3,158,4852,3833,1804,499,0.481,0.315,0.788,30.7,24.3,11.4,3.2,16.8,0.166,3.3,6.5
4,4,ORL,Aaron Gordon\gordoaa01,PF,University of Arizona,5,341,9500,4249,2112,736,0.45,0.321,0.707,27.9,12.5,6.2,2.2,18,0.091,0.2,5.3
5,5,UTA,Dante Exum\exumda01,PG,,4,204,3944,1207,357,462,0.4,0.304,0.77,19.3,5.9,1.8,2.3,2.7,0.033,-3.3,-1.3
6,6,BOS,Marcus Smart\smartma01,PG,Oklahoma State University,5,341,9688,3174,1205,1337,0.372,0.31,0.764,28.4,9.3,3.5,3.9,16.2,0.08,0.6,6.4
7,7,LAL,Julius Randle\randlju01,PF,University of Kentucky,5,311,8854,4784,2753,847,0.502,0.307,0.722,28.5,15.4,8.9,2.7,17.8,0.096,-0.4,3.6
8,8,SAC,Nik Stauskas\stausni01,SG,University of Michigan,5,335,6662,2272,688,513,0.389,0.353,0.814,19.9,6.8,2.1,1.5,3.8,0.028,-3.2,-2.1
9,9,CHH,Noah Vonleh\vonleno01,PF,Indiana University,5,299,5295,1528,1617,228,0.453,0.316,0.683,17.7,5.1,5.4,0.8,8.3,0.075,-2.6,-0.8
10,10,PHI,Elfrid Payton\paytoel01,PG,University of Louisiana at Lafayette,5,342,10104,3798,1491,2243,0.454,0.302,0.63,29.5,11.1,4.4,6.6,13.3,0.063,-0.3,4.2
11,11,DEN,Doug McDermott\mcderdo01,SF,Creighton University,5,341,6798,2659,726,269,0.459,0.404,0.825,19.9,7.8,2.1,0.8,10.6,0.075,-3,-1.8
12,12,ORL,Dario Saric\saricda01,SF,,3,240,6462,3039,1490,511,0.433,0.358,0.835,26.9,12.7,6.2,2.1,11.2,0.083,-0.6,2.3
13,13,MIN,Zach LaVine\lavinza01,SG,University of California Los Angeles,5,293,8772,4710,990,1021,0.446,0.373,0.824,29.9,16.1,3.4,3.5,8,0.044,-1.6,0.9
14,14,PHO,T.J. Warren\warretj01,SF,North Carolina State University,5,261,7234,3754,1078,293,0.497,0.34,0.766,27.7,14.4,4.1,1.1,13,0.086,-1.3,1.3
15,15,ATL,Adreian Payne\paynead01,PF,Michigan State University,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.5,-1.2
16,16,CHI,Jusuf Nurkic\nurkiju01,C,,5,310,7103,3608,2480,589,0.491,0.071,0.666,22.9,11.6,8,1.9,16.4,0.111,1.3,5.9
17,17,BOS,James Young\youngja01,SG,University of Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-4,-0.4
18,18,PHO,Tyler Ennis\ennisty01,PG,Syracuse University,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-4.6,-1.5
19,19,CHI,Gary Harris\harriga01,SG,Michigan State University,5,312,8883,3878,798,661,0.46,0.365,0.802,28.5,12.4,2.6,2.1,16,0.086,-0.1,4.3
