Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
485,Justin Sears\justin-sears-1,2013,2016,Yale,Ivy,120,3507,25.0,.559,.517,12.6,16.0,14.3,13.6,2.2,6.6,15.6,26.8,1668,111.7,95.8,9.3,6.9,16.2,1.7,3.9,5.6
486,Blake Stepp\blake-stepp-1,2001,2004,Gonzaga,WCC,128,3025,,.588,.538,,,6.2,34.4,,0.2,19.7,25.4,,,,9.9,6.2,16.2,,,
487,Jared Sullinger\jared-sullinger-1,2011,2012,Ohio State,Big Ten,74,2295,30.3,.591,.541,13.3,25.9,19.5,8.0,2.1,3.0,10.7,27.4,1225,123.9,87.8,10.3,5.9,16.2,5.9,4.4,10.3
488,Ryan Thompson\ryan-thompson-2,2007,2010,Rider,MAAC,128,4531,20.3,.580,.527,4.1,11.2,9.0,17.4,1.8,0.8,15.8,21.1,550,113.1,105.3,11.0,5.2,16.2,,,
489,Jalan West\jalan-west-1,2013,2018,Northwestern State,Southland,104,3191,25.9,.611,.553,1.7,10.8,6.3,36.1,3.8,0.7,15.2,23.2,1789,125.1,104.6,12.6,3.5,16.2,7.2,-2.1,5.1
490,Eric Williams\eric-williams-5,2003,2006,Wake Forest,ACC,129,3452,,.595,.593,,,14.0,5.7,,2.2,15.3,23.7,,,,9.8,6.4,16.2,,,
491,Loren Woods\loren-woods-1,1997,2001,Total,Total,107,2224,,.553,.494,,,,,,,15.4,,,,,5.6,10.7,16.2,,,
492,Marshall Bjorklund\marshall-bjorklund-1,2011,2014,North Dakota State,Summit,127,3221,24.4,.655,.653,11.5,15.6,13.6,8.3,1.5,2.0,13.6,21.4,1372,125.8,101.3,11.8,4.4,16.1,3.5,-0.2,3.3
493,Ryan Boatright\ryan-boatright-1,2012,2015,Connecticut,Total,128,4322,19.2,.546,.489,1.9,10.1,6.2,24.7,2.6,0.6,15.6,24.3,1804,109.8,100.6,9.9,6.2,16.1,4.5,1.2,5.7
494,Brad Buckman\brad-buckman-1,2003,2006,Texas,Big 12,129,2695,,.556,.501,,,16.2,8.2,,4.4,16.3,21.8,,,,5.0,11.1,16.1,,,
495,Danny Fortson\danny-fortson-1,1996,1997,Cincinnati,CUSA,66,1895,,.635,.578,,,18.8,10.7,,1.5,14.5,32.3,,,,10.3,5.9,16.1,,,
496,Mike Gansey\mike-gansey-1,2002,2006,Total,Total,125,3673,,.614,.597,,,10.5,12.4,,0.6,9.5,20.4,,,,10.8,5.3,16.1,,,
497,Joey Graham\joey-graham-1,2001,2005,Total,Total,128,3337,,.609,.559,,,12.8,13.5,,0.4,16.9,27.7,,,,11.0,5.1,16.1,,,
498,Langston Hall\langston-hall-1,2011,2014,Mercer,A-Sun,138,4541,16.9,.551,.499,1.6,10.1,6.0,28.8,2.4,0.9,18.3,20.5,1696,111.1,100.4,9.6,6.5,16.1,2.5,-0.2,2.3
499,D'Angelo Harrison\dangelo-harrison-1,2012,2015,St. John's (NY),Big East,125,4311,20.3,.535,.470,3.5,11.6,7.5,12.6,2.2,1.1,10.2,26.7,2013,111.4,103.6,11.2,4.9,16.1,5.1,-0.3,4.8
500,Ian Hummer\ian-hummer-1,2010,2013,Princeton,Ivy,123,3523,24.3,.551,.521,8.0,18.8,13.5,21.9,2.6,3.3,16.1,28.2,1626,107.7,93.4,8.9,7.1,16.1,2.5,2.7,5.1
501,Mark Madsen\mark-madsen-1,1997,2000,Stanford,Pac-10,108,2007,,.598,.587,,,,,,,12.9,,,,,7.6,8.5,16.1,,,
502,Giddy Potts\giddy-potts-1,2015,2018,Middle Tennessee,CUSA,134,3610,20.0,.592,.562,2.8,16.7,9.7,11.3,2.5,1.0,11.0,22.6,1464,117.3,97.1,9.3,6.9,16.1,4.2,1.3,5.6
503,Joe Reitz\joe-reitz-1,2005,2008,Western Michigan,MAC,128,3517,,.601,.549,,,13.1,2.3,,0.5,15.3,20.3,,,,11.0,5.0,16.1,,,
504,Sindarius Thornwell\sindarius-thornwell-1,2014,2017,South Carolina,SEC,132,4194,19.2,.518,.451,5.7,13.0,9.3,20.4,2.8,2.2,15.0,25.8,1924,108.0,97.1,8.2,7.9,16.1,4.0,3.8,7.8
505,Evan Turner\evan-turner-1,2008,2010,Ohio State,Big Ten,101,3314,30.0,.577,.527,7.3,23.5,14.1,31.4,3.0,2.4,21.1,30.8,682,111.2,88.5,9.3,6.8,16.1,,,
506,Tim Williams\tim-williams-3,2013,2017,Total,Total,118,3990,23.9,.608,.581,7.2,18.8,13.1,6.8,1.8,3.8,10.9,23.4,1737,118.4,104.3,11.4,4.7,16.1,1.7,0.1,1.7
507,Chris Wright\chris-wright-1,2008,2011,Dayton,A-10,123,3320,21.3,.537,.500,9.4,21.1,15.2,10.7,1.9,5.2,16.9,27.4,928,101.1,90.3,6.4,9.8,16.1,-0.7,5.3,4.6
508,James Anderson\james-anderson-3,2008,2010,Oklahoma State,Big 12,101,3316,29.2,.596,.549,6.7,12.9,9.0,11.0,2.4,1.6,12.3,26.3,698,121.3,99.2,11.6,4.4,16.0,,,
509,Joel Berry\joel-berry-1,2015,2018,North Carolina,ACC,144,3973,18.1,.554,.512,1.8,9.1,5.5,18.7,2.3,0.7,11.8,21.8,1720,118.8,103.0,10.6,5.4,16.0,6.1,2.2,8.2
510,Jaron Blossomgame\jaron-blossomgame-1,2014,2017,Clemson,ACC,128,3925,21.6,.564,.525,7.3,17.3,12.3,8.3,1.3,2.6,11.0,23.4,1610,115.1,101.2,10.0,6.0,16.0,3.4,2.1,5.5
511,Ruben Boumtje-Boumtje\ruben-boumtje-boumtje-1,1998,2001,Georgetown,Big East,101,2383,,.533,.485,,,,,,,22.5,,,,,3.7,12.3,16.0,,,
512,Jake Cohen\jake-cohen-1,2010,2013,Davidson,Southern,131,3157,26.1,.588,.533,8.5,19.9,14.1,10.8,1.4,6.5,14.5,28.8,1642,114.2,96.5,10.6,5.4,16.0,3.4,2.9,6.3
513,Johnny Dee\johnny-dee-2,2012,2015,San Diego,WCC,131,4081,20.5,.588,.540,1.4,9.8,5.5,9.4,1.8,0.1,8.8,25.2,1744,117.6,106.3,12.3,3.7,16.0,5.3,-2.0,3.3
514,Travis Diener\travis-diener-1,2002,2005,Marquette,CUSA,120,3770,,.585,.532,,,6.1,38.6,,0.1,13.7,24.2,,,,10.6,5.4,16.0,,,
515,Bryce Drew\bryce-drew-1,1996,1998,Valparaiso,Mid-Cont,94,2214,,.605,.563,,,,,,,14.8,,,,,12.1,3.9,16.0,,,
