Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
670,Jovan Mooring\jovan-mooring-1,2018,2018,Nevada-Las Vegas,MWC,33,1077,14.4,.524,.460,1.0,8.5,5.0,17.0,1.9,0.2,12.5,21.5,446,111.3,108.1,2.0,1.0,3.0,2.8,-0.6,2.2
671,Sidy N'Dir\sidy-ndir-2,2018,2018,New Mexico State,WAC,34,883,12.0,.541,.493,3.8,8.6,6.2,9.1,1.4,2.1,15.5,15.9,262,109.4,95.1,1.1,1.9,3.0,0.6,2.6,3.1
672,David Nichols\david-nichols-1,2018,2018,Albany (NY),AEC,32,1082,15.2,.498,.462,1.8,13.2,7.5,20.4,2.0,0.7,14.6,25.7,458,103.2,102.6,1.4,1.6,3.0,-0.3,-0.2,-0.5
673,Brett Prahl\brett-prahl-1,2018,2018,Milwaukee,Horizon,33,981,17.0,.646,.632,6.9,12.9,9.9,9.1,1.1,5.3,20.5,16.1,303,112.7,102.2,1.6,1.5,3.0,-0.4,2.7,2.3
674,Jahaad Proctor\jahaad-proctor-1,2018,2018,High Point,Big South,25,798,19.9,.550,.515,2.5,11.2,6.8,20.0,1.9,1.1,13.9,27.9,388,109.3,102.1,1.8,1.2,3.0,1.7,-1.8,0.0
675,Ben Richardson\ben-richardson-1,2018,2018,Loyola (IL),MVC,28,869,13.1,.610,.596,0.5,10.8,6.2,21.0,2.4,1.3,21.7,13.0,224,113.4,96.4,1.2,1.8,3.0,2.4,3.1,5.5
676,Kerwin Roach Jr.\kerwin-roachjr-1,2018,2018,Texas,Big 12,32,1070,15.8,.531,.506,2.8,10.1,6.4,21.7,2.6,0.8,17.5,21.8,409,104.3,101.6,1.4,1.6,3.0,3.2,3.4,6.6
677,Stanford Robinson\stanford-robinson-1,2018,2018,Rhode Island,A-10,33,915,16.9,.517,.500,6.7,18.0,12.0,11.6,4.4,1.9,16.1,18.2,299,103.7,93.6,0.9,2.1,3.0,1.8,6.0,7.9
678,Tommy Rutherford\tommy-rutherford-1,2018,2018,UC-Irvine,Big West,35,747,20.3,.626,.596,9.2,19.1,14.3,8.1,0.7,3.3,20.3,23.7,328,110.2,97.4,1.5,1.4,3.0,-0.3,1.6,1.3
679,Glenn Sanabria\glenn-sanabria-1,2018,2018,St. Francis (NY),NEC,29,872,18.2,.567,.559,3.5,8.9,6.0,21.2,1.9,1.1,9.1,19.2,353,120.4,109.0,2.3,0.7,3.0,3.0,-2.5,0.5
680,Samir Sehic\samir-sehic-1,2018,2018,Tulane,AAC,31,631,24.6,.648,.619,13.6,15.8,14.7,8.2,0.9,2.3,12.3,22.8,309,126.7,107.1,2.3,0.6,3.0,5.0,-1.2,3.8
681,Nick Sherod\nick-sherod-1,2018,2018,Richmond,A-10,32,1008,19.3,.598,.570,3.7,16.3,9.8,9.2,1.8,0.4,8.6,21.8,404,116.6,111.6,2.4,0.6,3.0,3.6,-2.1,1.5
682,Nike Sibande\nike-sibande-1,2018,2018,Miami (OH),MAC,34,1117,15.7,.542,.507,2.9,12.2,7.6,7.8,2.0,0.5,13.2,25.0,460,103.9,103.7,1.5,1.5,3.0,0.1,-0.8,-0.7
683,Marcus Stroman\marcus-stroman-1,2018,2018,Louisiana,Sun Belt,33,917,14.6,.551,.459,2.1,10.9,6.5,36.1,3.4,0.9,32.1,15.4,326,107.8,97.7,1.3,1.7,3.0,-0.1,1.1,1.0
684,Paul White\paul-white-1,2018,2018,Oregon,Pac-12,33,771,17.8,.597,.544,7.3,10.6,8.9,12.2,1.5,2.3,10.7,18.8,307,125.7,107.2,2.3,0.8,3.0,3.9,1.0,4.9
685,Demajeo Wiggins\demajeo-wiggins-1,2018,2018,Bowling Green State,MAC,31,864,22.4,.598,.558,11.5,28.9,19.9,6.6,0.8,1.8,17.2,24.0,410,111.9,104.5,1.9,1.1,3.0,-1.2,-0.9,-2.2
686,Abdul Ado\abdul-ado-1,2018,2018,Mississippi State,SEC,36,953,17.2,.598,.615,12.9,14.9,13.9,2.5,1.7,7.8,23.2,16.3,290,105.4,97.1,1.0,1.9,2.9,0.1,5.6,5.7
687,Isaiah Bailey\isaiah-bailey-1,2018,2018,Bethune-Cookman,MEAC,31,998,16.4,.546,.463,4.3,12.1,8.3,27.1,1.4,0.7,21.2,25.5,526,105.0,104.7,1.6,1.2,2.9,-1.1,-2.5,-3.5
688,Obediah Church\obediah-church-1,2018,2018,Missouri State,MVC,32,762,20.3,.646,.659,11.1,15.2,13.2,10.0,1.3,8.7,21.3,14.2,228,118.2,97.7,1.5,1.4,2.9,1.4,5.8,7.3
689,Donte Clark\donte-clark-1,2018,2018,Texas Southern,SWAC,36,1252,17.3,.520,.443,3.5,12.5,8.1,15.6,1.7,0.9,13.8,28.6,646,104.5,110.6,2.1,0.9,2.9,-0.4,-2.5,-2.9
690,Marvin Clark\marvin-clark-1,2018,2018,St. John's (NY),Big East,33,1021,15.2,.596,.563,4.2,12.8,8.5,6.2,2.1,0.6,14.9,20.1,375,108.6,103.7,1.6,1.4,2.9,2.5,0.5,3.0
691,Josh Davis\josh-davis-7,2018,2018,Western Michigan,MAC,32,881,18.6,.574,.555,7.9,19.2,13.3,8.6,1.8,3.0,13.6,19.5,333,114.3,105.1,1.8,1.1,2.9,1.3,0.2,1.5
692,Brad Davison\brad-davison-1,2018,2018,Wisconsin,Big Ten,33,1028,15.1,.555,.503,1.2,8.7,4.8,16.9,2.5,0.1,14.1,22.4,381,109.3,106.8,1.8,1.1,2.9,3.5,0.2,3.7
693,Josh Delaney\josh-delaney-1,2018,2018,Sam Houston State,Southland,35,802,14.9,.585,.556,1.1,8.7,4.8,18.4,1.8,0.5,11.6,17.0,268,120.1,102.6,1.7,1.2,2.9,2.6,-1.6,1.0
694,Nat Dixon\nat-dixon-1,2018,2018,Chattanooga,Southern,31,1130,15.4,.574,.541,3.9,12.0,7.8,11.4,1.6,1.0,14.4,20.3,403,110.0,108.9,1.9,1.0,2.9,0.5,-1.4,-1.0
695,Aaron Epps\aaron-epps-1,2018,2018,Louisiana State,SEC,32,765,19.9,.622,.602,9.6,17.7,13.7,3.1,1.0,4.4,8.9,17.8,283,127.0,108.3,2.2,0.7,2.9,4.3,0.6,4.9
696,Keyshawn Evans\keyshawn-evans-1,2018,2018,Illinois State,MVC,30,935,17.4,.578,.544,1.2,8.2,4.7,25.3,1.2,0.0,13.8,24.8,435,112.1,109.6,2.2,0.7,2.9,4.6,-3.1,1.5
697,Bruno Fernando\bruno-fernando-1,2018,2018,Maryland,Big Ten,30,671,21.9,.617,.581,8.9,24.5,17.5,6.9,1.0,6.0,17.5,23.7,282,112.2,95.4,1.5,1.4,2.9,0.5,4.0,4.6
698,Jehyve Floyd\jehyve-floyd-1,2018,2018,Holy Cross,Patriot,31,924,21.6,.643,.668,4.8,18.4,12.0,13.5,2.0,9.9,19.7,22.8,340,106.7,100.8,1.4,1.5,2.9,-1.6,4.2,2.6
699,Tevin Foster\tevin-foster-1,2018,2018,Abilene Christian,Southland,32,1037,14.6,.559,.498,2.3,8.9,5.6,19.4,2.5,0.5,19.2,20.8,404,105.6,102.2,1.4,1.5,2.9,-0.4,-1.6,-1.9
700,Jordan Fox\jordan-fox-1,2018,2018,Army,Patriot,30,898,16.9,.548,.519,2.3,13.2,7.6,26.7,1.4,0.4,14.2,23.8,416,109.9,105.6,1.8,1.0,2.9,2.0,-2.0,0.0
